id,name,reference,status,price,category_id,available_quantity,iva_percentage,iva,total_sold_quantity,total_revenue
334,COASTAL PERRO STILES AMOR PAZ AMARILLO CORREA LARGE 1,,active,33367.0,5063,0.0,19.0,6339.73,0.0,0.0
364,COASTAL PERRO STILES HUESOS AZUL COLLAR X-SMAL 3/8,,active,17169.0,5063,0.0,19.0,3262.11,0.0,0.0
367,COASTAL PERRO STILES HUESOS AZUL CORREA X-SMALL 3/8,,active,24433.0,5063,0.0,19.0,4642.27,0.0,0.0
348,"COASTAL PERRO STYLES HUELLAS CAFE COLLAR X SMALL 3/8""",,active,19650.0,5063,0.0,19.0,3733.5,1.0,19650.0
365,COASTAL PERRO STYLES POLKA ROSADO COLLAR SMALL 5/8,,active,21784.0,5063,0.0,19.0,4138.96,0.0,0.0
366,COASTAL PERRO STYLES POLKA ROSADO CORREA SMALL 5/8,,active,25546.0,5063,0.0,19.0,4853.74,0.0,0.0
2352,COBIJA GATO,,active,21008.0,5063,0.0,19.0,3991.52,1.0,21008.0
2348,COBIJA PARA MASCOTA S,,active,18487.0,5063,-2.0,19.0,3512.53,2.0,36974.0
2350,COBIJA PARA MASCOTAS TALLA L,,active,24370.0,5063,0.0,19.0,4630.3,0.0,0.0
2349,COBIJA PARA MASCOTAS TALLA M,,active,21008.0,5063,0.0,19.0,3991.52,7.0,147056.806723
2351,COBIJA PARA MASCOTAS TALLA XL,,active,28571.0,5063,0.0,19.0,5428.49,1.0,28571.0
2341,COCA MASCOTA,,active,11538.0,5063,0.0,19.0,2192.22,1.0,8403.361345
2342,COCA MASCOTA,,active,7500.0,5063,0.0,19.0,1425.0,2.0,15000.0
2663,CODILLO DE JAMON SERRANO,,active,22500.0,5063,1.0,0.0,0.0,0.0,0.0
435,COJIN ACOLCHADO GRANDE,,active,37815.0,5063,0.0,19.0,7184.85,0.0,0.0
437,COJIN ACOLCHADO PEQUEÑO,,active,25210.0,5063,0.0,19.0,4789.9,0.0,0.0
15,COJIN COLGANTE PARA GATO 1 PISO,,active,58823.0,5063,1.0,19.0,11176.37,0.0,0.0
16,COJIN COLGANTE PARA GATO DOS PISOS + AMACA,,active,75630.0,5063,2.0,19.0,14369.7,0.0,0.0
2,COJIN PERSONALIZADO ESTAMPADOS,,active,50462.0,5063,0.0,19.0,9587.78,0.0,0.0
2606,COJIN ROSA PEQUEÑO,,active,12605.042017,5063,0.0,19.0,2394.96,1.0,12605.042017
7,COJINES DE TELA,,active,42017.0,5063,8.0,19.0,7983.23,0.0,0.0
14,COJINES ESTAMPADOS,,active,37815.0,5063,33.0,19.0,7184.85,3.0,105041.890756
453,COJINES ESTAMPADOS PEQUEÑOS,,active,29415.0,5063,1.0,19.0,5588.85,0.0,0.0
1821,COLCHON NANNA 70 PINK-RACCOON,,active,42922.0,5063,0.0,19.0,8155.18,0.0,0.0
1822,COLCHON NANNA 85 PINK-RACCOON,,active,62702.0,5063,0.0,19.0,11913.38,0.0,0.0
1832,COLCHON PERRO VENUS 45/2 CAFE,,active,48610.0,5063,0.0,19.0,9235.9,0.0,0.0
1725,COLCHON PERRO RELAX 65 AZUL - VERDE,,active,44499.0,5063,0.0,19.0,8454.81,0.0,0.0
1949,COLCHON PERRO RELAX 65 CAFÉ - BEIGE,,active,57308.0,5063,0.0,19.0,10888.52,0.0,0.0
2714,COLCHON PERRO RELAX 78/8 PURPURA,,active,113445.0,5063,0.0,19.0,21554.55,1.0,113445.0
1836,COLCHON PERRO VENUS 78/8 AZUL,,active,132486.0,5063,0.0,19.0,25172.34,0.0,0.0
1835,COLCHON PERRO VENUS 78/8 CAFÉ,,active,132486.0,5063,0.0,19.0,25172.34,0.0,0.0
6,COLCHONETA 40X60X10 CMS,,active,96639.0,5063,4.0,19.0,18361.41,0.0,0.0
5,COLCHONETA 40X60X5 CMS,,active,84874.0,5063,5.0,19.0,16126.06,1.0,84874.0
3,COLCHONETA 50X80X5 CM,,active,1050420.0,5063,3.0,19.0,199579.8,0.0,0.0
558,COLCHONETA GRANDE COLORES SURTIDOS,,active,37800.0,5063,0.0,19.0,7182.0,0.0,0.0
559,COLCHONETA MEDIANA COLORES SURTIDOS,,active,29461.0,5063,3.0,19.0,5597.59,0.0,0.0
560,COLCHONETA PEQUEÑA COLORES SURTIDOS,,active,21000.0,5063,-1.0,19.0,3990.0,1.0,25210.084034
411,COLCHONETA PERRO AGUAMARINA,,active,38461.0,5063,0.0,19.0,7307.59,0.0,0.0
404,COLCHONETA PERRO ROJO,,active,38461.0,5063,2.0,19.0,7307.59,0.0,0.0
385,COLCHONETA PERRO VERDE,,active,38461.0,5063,3.0,19.0,7307.59,0.0,0.0
4,COLHONETA 50X80X10 CMS,,active,140000.0,5063,0.0,19.0,26600.0,0.0,0.0
523,COLLAR + TRAILLA DOGOWEAR,,active,55000.0,5063,2.0,19.0,10450.0,0.0,0.0
2648,COLLAR 3D TALLA L,,active,29411.764706,5063,3.0,19.0,5588.24,1.0,21008.403361
2647,COLLAR 3D TALLA M,,active,15126.05042,5063,3.0,19.0,2873.95,1.0,15126.05042
2646,COLLAR 3D TALLA S,,active,12605.042017,5063,4.0,19.0,2394.96,0.0,0.0
2649,COLLAR 3D TALLA XL,,active,21008.403361,5063,3.0,19.0,3991.6,1.0,21008.403361
1693,COLLAR AHOGO METALICO CS 1570,,active,9049.0,5063,0.0,19.0,1719.31,0.0,0.0
1179,COLLAR AJUSTABLE ENZO 2YB M,,active,19244.0,5063,0.0,19.0,3656.36,0.0,0.0
1177,COLLAR AJUSTABLE ENZO 2YB S,,active,16723.0,5063,0.0,19.0,3177.37,1.0,16723.0
1180,COLLAR AJUSTABLE ENZO M3B M,,active,19244.0,5063,0.0,19.0,3656.36,0.0,0.0
1178,COLLAR AJUSTABLE ENZO M3B S,,active,16723.0,5063,0.0,19.0,3177.37,1.0,16723.0
1250,COLLAR AJUSTABLE MEOW,,active,16723.0,5063,0.0,19.0,3177.37,0.0,0.0
1248,COLLAR AJUSTABLE MEOW,,active,16723.0,5063,0.0,19.0,3177.37,0.0,0.0
585,COLLAR AJUSTABLE MEOW,,active,16723.0,5063,0.0,19.0,3177.37,0.0,0.0
724,COLLAR AJUSTABLE MEOW,,active,16723.0,5063,0.0,19.0,3177.37,0.0,0.0
2586,COLLAR AJUSTABLE MEOW 2AN,,active,16722.689076,5063,0.0,19.0,3177.31,1.0,16722.689076
2631,COLLAR AJUSTABLE MEOW 2AN,,active,16722.689076,5063,1.0,19.0,3177.31,0.0,0.0
2587,COLLAR AJUSTABLE MEOW 4DO,,active,16722.689076,5063,0.0,19.0,3177.31,3.0,50168.067228
1251,COLLAR AJUSTABLE MEOW 4YV,,active,16723.0,5063,0.0,19.0,3177.37,0.0,0.0
2632,COLLAR AJUSTABLE MEOW 6HF,,active,16722.689076,5063,0.0,19.0,3177.31,1.0,16722.689076
1252,COLLAR AJUSTABLE MEOW 6JR,,active,16723.0,5063,0.0,19.0,3177.37,0.0,0.0
1253,COLLAR AJUSTABLE MEOW 9I6,,active,16723.0,5063,0.0,19.0,3177.37,3.0,50169.0
654,COLLAR AJUSTABLE MEOW 9IL,,active,16723.0,5063,0.0,19.0,3177.37,1.0,16723.0
1254,COLLAR AJUSTABLE MEOW M1Q,,active,16723.0,5063,0.0,19.0,3177.37,2.0,33446.0
2531,COLLAR AJUSTABLE MEOW R03,,active,16723.0,5063,0.0,19.0,3177.37,1.0,16723.0
1249,COLLAR AJUSTABLE MEOW V0C,,active,16723.0,5063,0.0,19.0,3177.37,0.0,0.0
2629,COLLAR AJUSTABLE MICHI 3QT,PCCLAJ1001-232,active,16722.689076,5063,1.0,19.0,3177.31,1.0,16722.689076
2585,COLLAR AJUSTABLE MICHI 6HF,,active,16722.689076,5063,0.0,19.0,3177.31,2.0,33445.378152
2630,COLLAR AJUSTABLE MICHI 9I6,,active,16722.689076,5063,-1.0,19.0,3177.31,2.0,33445.378152
2600,COLLAR AJUSTABLE MYLU L 2AN,,active,29327.731092,5063,1.0,19.0,5572.27,1.0,29327.731092
2601,COLLAR AJUSTABLE MYLU L 4DO,,active,29327.731092,5063,0.0,19.0,5572.27,3.0,87983.193276
2634,COLLAR AJUSTABLE MYLU L 9I6,,active,29327.731092,5063,0.0,19.0,5572.27,1.0,29327.731092
